                               Overall Accuracy:                                

                                Option Combination  Overall    Average    F1 Score     MCC    
                              Min-1000-Percentages   66.79%     67.06%     66.19%     49.52%  
                           Emphasis-Min-500-Counts   67.18%     66.64%     66.31%     49.42%  
                  Vowels-Only-Min-2500-Percentages   65.85%     66.46%     66.10%     48.91%  
                      Emphasis-Min-500-Percentages   66.67%     66.29%     65.88%     48.82%  
             Emphasis-Vowels-Only-No-Others-Counts   65.52%     65.97%     64.19%     46.75%  
                                    Min-500-Counts   66.41%     65.92%     65.56%     48.26%  
              Emphasis-Vowels-Only-Min-1000-Counts   64.89%     65.29%     64.37%     46.93%  
                       Vowels-Only-Min-2500-Counts   64.63%     65.22%     65.03%     47.09%  
                         Emphasis-No-Others-Counts   66.67%     65.16%     65.91%     48.04%  
                               Min-500-Percentages   64.89%     64.74%     64.22%     46.38%  
                           Emphasis-Min-250-Counts   64.86%     64.49%     64.50%     46.78%  
               Emphasis-Vowels-Only-Min-500-Counts   64.12%     62.89%     62.41%     44.44%  
         Emphasis-Vowels-Only-Min-1000-Percentages   62.21%     62.64%     61.42%     42.98%  
                               Min-250-Percentages   62.70%     62.35%     62.34%     43.53%  
                                    Min-250-Counts   62.70%     62.08%     62.08%     43.32%  
                 Vowels-Only-No-Others-Percentages   63.22%     62.05%     60.77%     42.30%  
                      Emphasis-Min-250-Percentages   62.34%     61.90%     61.83%     42.89%  
                      Vowels-Only-No-Others-Counts   64.37%     61.72%     61.00%     42.92%  
          Emphasis-Vowels-Only-Min-500-Percentages   62.60%     61.71%     61.06%     42.37%  
                  Vowels-Only-Min-1000-Percentages   62.60%     61.70%     60.92%     42.49%  
                       Vowels-Only-Min-1000-Counts   62.21%     61.29%     60.81%     41.80%  
        Emphasis-Vowels-Only-No-Others-Percentages   57.47%     60.62%     57.92%     37.36%  
                           Emphasis-Min-100-Counts   59.73%     59.82%     59.63%     39.61%  
                        Vowels-Only-Min-500-Counts   61.58%     59.54%     59.33%     39.83%  
                      Emphasis-Min-100-Percentages   59.37%     59.47%     59.18%     39.13%  
                   Vowels-Only-Min-500-Percentages   60.31%     59.04%     58.46%     38.67%  
                               Min-100-Percentages   58.89%     59.01%     58.73%     38.40%  
                                    Min-100-Counts   58.65%     58.75%     58.56%     37.96%  
               Emphasis-Vowels-Only-Min-250-Counts   58.74%     57.60%     57.47%     36.89%  
          Emphasis-Vowels-Only-Min-250-Percentages   58.20%     57.18%     56.97%     36.12%  
                   Vowels-Only-Min-250-Percentages   56.76%     55.90%     55.80%     34.13%  
               Emphasis-Vowels-Only-Min-100-Counts   54.90%     54.87%     54.60%     32.25%  
                                        All-Counts   54.45%     54.13%     54.04%     31.26%  
                               Emphasis-All-Counts   54.18%     53.99%     53.92%     30.97%  
                        Vowels-Only-Min-250-Counts   55.14%     53.73%     53.46%     31.14%  
                                   All-Percentages   52.95%     52.97%     52.78%     29.36%  
                          Emphasis-All-Percentages   52.82%     52.59%     52.66%     28.94%  
          Emphasis-Vowels-Only-Min-100-Percentages   52.00%     52.05%     51.67%     27.92%  
                   Vowels-Only-Min-100-Percentages   51.87%     51.90%     51.66%     27.75%  
                        Vowels-Only-Min-100-Counts   51.87%     51.85%     51.50%     27.68%  
                   Emphasis-Vowels-Only-All-Counts   50.85%     50.54%     50.54%     25.92%  
                            Vowels-Only-All-Counts   48.34%     47.93%     47.94%     22.05%  
                       Vowels-Only-All-Percentages   45.96%     45.96%     45.89%     18.78%  
              Emphasis-Vowels-Only-All-Percentages   44.06%     43.46%     43.61%     15.57%  


                               Average F1 Score:                                

                                Option Combination  Overall    Average    F1 Score     MCC    
                     Emphasis-Min-2500-Percentages   71.95%     72.27%     73.21%     58.96%  
                          Emphasis-Min-2500-Counts   70.73%     71.23%     71.62%     56.65%  
                              Min-2500-Percentages   69.51%     70.18%     70.30%     54.82%  
                          Emphasis-Min-1000-Counts   69.85%     70.20%     69.65%     54.23%  
                                   Min-2500-Counts   68.29%     68.95%     69.39%     53.13%  
              Emphasis-Vowels-Only-Min-2500-Counts   68.29%     69.36%     68.88%     52.84%  
         Emphasis-Vowels-Only-Min-2500-Percentages   68.29%     69.36%     68.88%     52.84%  
                                  No-Others-Counts   68.97%     68.27%     68.73%     51.95%  
                                   Min-1000-Counts   69.08%     69.20%     68.69%     52.88%  
                     Emphasis-Min-1000-Percentages   67.94%     68.26%     67.45%     51.26%  
                             No-Others-Percentages   67.82%     68.27%     67.21%     50.32%  
                           Emphasis-Min-500-Counts   67.18%     66.64%     66.31%     49.42%  
                              Min-1000-Percentages   66.79%     67.06%     66.19%     49.52%  
                  Vowels-Only-Min-2500-Percentages   65.85%     66.46%     66.10%     48.91%  
                         Emphasis-No-Others-Counts   66.67%     65.16%     65.91%     48.04%  
                      Emphasis-Min-500-Percentages   66.67%     66.29%     65.88%     48.82%  
                                    Min-500-Counts   66.41%     65.92%     65.56%     48.26%  
                       Vowels-Only-Min-2500-Counts   64.63%     65.22%     65.03%     47.09%  
                    Emphasis-No-Others-Percentages   66.67%     67.12%     65.01%     48.63%  
                           Emphasis-Min-250-Counts   64.86%     64.49%     64.50%     46.78%  
              Emphasis-Vowels-Only-Min-1000-Counts   64.89%     65.29%     64.37%     46.93%  
                               Min-500-Percentages   64.89%     64.74%     64.22%     46.38%  
             Emphasis-Vowels-Only-No-Others-Counts   65.52%     65.97%     64.19%     46.75%  
               Emphasis-Vowels-Only-Min-500-Counts   64.12%     62.89%     62.41%     44.44%  
                               Min-250-Percentages   62.70%     62.35%     62.34%     43.53%  
                                    Min-250-Counts   62.70%     62.08%     62.08%     43.32%  
                      Emphasis-Min-250-Percentages   62.34%     61.90%     61.83%     42.89%  
         Emphasis-Vowels-Only-Min-1000-Percentages   62.21%     62.64%     61.42%     42.98%  
          Emphasis-Vowels-Only-Min-500-Percentages   62.60%     61.71%     61.06%     42.37%  
                      Vowels-Only-No-Others-Counts   64.37%     61.72%     61.00%     42.92%  
                  Vowels-Only-Min-1000-Percentages   62.60%     61.70%     60.92%     42.49%  
                       Vowels-Only-Min-1000-Counts   62.21%     61.29%     60.81%     41.80%  
                 Vowels-Only-No-Others-Percentages   63.22%     62.05%     60.77%     42.30%  
                           Emphasis-Min-100-Counts   59.73%     59.82%     59.63%     39.61%  
                        Vowels-Only-Min-500-Counts   61.58%     59.54%     59.33%     39.83%  
                      Emphasis-Min-100-Percentages   59.37%     59.47%     59.18%     39.13%  
                               Min-100-Percentages   58.89%     59.01%     58.73%     38.40%  
                                    Min-100-Counts   58.65%     58.75%     58.56%     37.96%  
                   Vowels-Only-Min-500-Percentages   60.31%     59.04%     58.46%     38.67%  
        Emphasis-Vowels-Only-No-Others-Percentages   57.47%     60.62%     57.92%     37.36%  
               Emphasis-Vowels-Only-Min-250-Counts   58.74%     57.60%     57.47%     36.89%  
          Emphasis-Vowels-Only-Min-250-Percentages   58.20%     57.18%     56.97%     36.12%  
                   Vowels-Only-Min-250-Percentages   56.76%     55.90%     55.80%     34.13%  
               Emphasis-Vowels-Only-Min-100-Counts   54.90%     54.87%     54.60%     32.25%  
                                        All-Counts   54.45%     54.13%     54.04%     31.26%  
                               Emphasis-All-Counts   54.18%     53.99%     53.92%     30.97%  
                        Vowels-Only-Min-250-Counts   55.14%     53.73%     53.46%     31.14%  
                                   All-Percentages   52.95%     52.97%     52.78%     29.36%  
                          Emphasis-All-Percentages   52.82%     52.59%     52.66%     28.94%  
          Emphasis-Vowels-Only-Min-100-Percentages   52.00%     52.05%     51.67%     27.92%  
                   Vowels-Only-Min-100-Percentages   51.87%     51.90%     51.66%     27.75%  
                        Vowels-Only-Min-100-Counts   51.87%     51.85%     51.50%     27.68%  
                   Emphasis-Vowels-Only-All-Counts   50.85%     50.54%     50.54%     25.92%  
                            Vowels-Only-All-Counts   48.34%     47.93%     47.94%     22.05%  
                       Vowels-Only-All-Percentages   45.96%     45.96%     45.89%     18.78%  
              Emphasis-Vowels-Only-All-Percentages   44.06%     43.46%     43.61%     15.57%  


                   Average Matthews Correlation Coefficient:                    

                                Option Combination  Overall    Average    F1 Score     MCC    
                     Emphasis-Min-2500-Percentages   71.95%     72.27%     73.21%     58.96%  
                          Emphasis-Min-2500-Counts   70.73%     71.23%     71.62%     56.65%  
                              Min-2500-Percentages   69.51%     70.18%     70.30%     54.82%  
                          Emphasis-Min-1000-Counts   69.85%     70.20%     69.65%     54.23%  
                                   Min-2500-Counts   68.29%     68.95%     69.39%     53.13%  
                                   Min-1000-Counts   69.08%     69.20%     68.69%     52.88%  
              Emphasis-Vowels-Only-Min-2500-Counts   68.29%     69.36%     68.88%     52.84%  
         Emphasis-Vowels-Only-Min-2500-Percentages   68.29%     69.36%     68.88%     52.84%  
                                  No-Others-Counts   68.97%     68.27%     68.73%     51.95%  
                     Emphasis-Min-1000-Percentages   67.94%     68.26%     67.45%     51.26%  
                             No-Others-Percentages   67.82%     68.27%     67.21%     50.32%  
                              Min-1000-Percentages   66.79%     67.06%     66.19%     49.52%  
                           Emphasis-Min-500-Counts   67.18%     66.64%     66.31%     49.42%  
                  Vowels-Only-Min-2500-Percentages   65.85%     66.46%     66.10%     48.91%  
                      Emphasis-Min-500-Percentages   66.67%     66.29%     65.88%     48.82%  
                    Emphasis-No-Others-Percentages   66.67%     67.12%     65.01%     48.63%  
                                    Min-500-Counts   66.41%     65.92%     65.56%     48.26%  
                         Emphasis-No-Others-Counts   66.67%     65.16%     65.91%     48.04%  
                       Vowels-Only-Min-2500-Counts   64.63%     65.22%     65.03%     47.09%  
              Emphasis-Vowels-Only-Min-1000-Counts   64.89%     65.29%     64.37%     46.93%  
                           Emphasis-Min-250-Counts   64.86%     64.49%     64.50%     46.78%  
             Emphasis-Vowels-Only-No-Others-Counts   65.52%     65.97%     64.19%     46.75%  
                               Min-500-Percentages   64.89%     64.74%     64.22%     46.38%  
               Emphasis-Vowels-Only-Min-500-Counts   64.12%     62.89%     62.41%     44.44%  
                               Min-250-Percentages   62.70%     62.35%     62.34%     43.53%  
                                    Min-250-Counts   62.70%     62.08%     62.08%     43.32%  
         Emphasis-Vowels-Only-Min-1000-Percentages   62.21%     62.64%     61.42%     42.98%  
                      Vowels-Only-No-Others-Counts   64.37%     61.72%     61.00%     42.92%  
                      Emphasis-Min-250-Percentages   62.34%     61.90%     61.83%     42.89%  
                  Vowels-Only-Min-1000-Percentages   62.60%     61.70%     60.92%     42.49%  
          Emphasis-Vowels-Only-Min-500-Percentages   62.60%     61.71%     61.06%     42.37%  
                 Vowels-Only-No-Others-Percentages   63.22%     62.05%     60.77%     42.30%  
                       Vowels-Only-Min-1000-Counts   62.21%     61.29%     60.81%     41.80%  
                        Vowels-Only-Min-500-Counts   61.58%     59.54%     59.33%     39.83%  
                           Emphasis-Min-100-Counts   59.73%     59.82%     59.63%     39.61%  
                      Emphasis-Min-100-Percentages   59.37%     59.47%     59.18%     39.13%  
                   Vowels-Only-Min-500-Percentages   60.31%     59.04%     58.46%     38.67%  
                               Min-100-Percentages   58.89%     59.01%     58.73%     38.40%  
                                    Min-100-Counts   58.65%     58.75%     58.56%     37.96%  
        Emphasis-Vowels-Only-No-Others-Percentages   57.47%     60.62%     57.92%     37.36%  
               Emphasis-Vowels-Only-Min-250-Counts   58.74%     57.60%     57.47%     36.89%  
          Emphasis-Vowels-Only-Min-250-Percentages   58.20%     57.18%     56.97%     36.12%  
                   Vowels-Only-Min-250-Percentages   56.76%     55.90%     55.80%     34.13%  
               Emphasis-Vowels-Only-Min-100-Counts   54.90%     54.87%     54.60%     32.25%  
                                        All-Counts   54.45%     54.13%     54.04%     31.26%  
                        Vowels-Only-Min-250-Counts   55.14%     53.73%     53.46%     31.14%  
                               Emphasis-All-Counts   54.18%     53.99%     53.92%     30.97%  
                                   All-Percentages   52.95%     52.97%     52.78%     29.36%  
                          Emphasis-All-Percentages   52.82%     52.59%     52.66%     28.94%  
          Emphasis-Vowels-Only-Min-100-Percentages   52.00%     52.05%     51.67%     27.92%  
                   Vowels-Only-Min-100-Percentages   51.87%     51.90%     51.66%     27.75%  
                        Vowels-Only-Min-100-Counts   51.87%     51.85%     51.50%     27.68%  
                   Emphasis-Vowels-Only-All-Counts   50.85%     50.54%     50.54%     25.92%  
                            Vowels-Only-All-Counts   48.34%     47.93%     47.94%     22.05%  
                       Vowels-Only-All-Percentages   45.96%     45.96%     45.89%     18.78%  
              Emphasis-Vowels-Only-All-Percentages   44.06%     43.46%     43.61%     15.57%  
