                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      02456-13   48.99%     49.48%     46.12%     -1.20%  
                      02345-16   50.20%     49.44%     45.85%     -1.33%  
                      02346-15   49.39%     49.01%     43.46%     -2.57%  
                      0236-145   47.37%     48.87%     46.02%     -2.45%  
                      0234-156   47.77%     48.52%     45.90%     -3.25%  
                      01234-56   78.14%     48.13%     47.26%     -2.26%  
                      023-1456   46.56%     47.56%     46.54%     -4.91%  
                      012346-5   90.28%     46.65%     47.45%     -4.82%  
                      012345-6   86.23%     44.19%     46.30%     -5.64%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      0-123456   73.68%     64.27%     61.23%     24.35%  
                      04-12356   65.99%     63.95%     59.48%     23.55%  
                      014-2356   60.73%     62.17%     59.44%     22.77%  
                      012356-4   87.45%     67.43%     58.77%     22.01%  
                      01-23456   57.89%     61.86%     57.89%     23.56%  
                      0146-235   61.54%     58.24%     57.28%     15.51%  
                      016-2345   57.89%     58.95%     56.93%     17.02%  
                      05-12346   66.40%     59.53%     56.89%     16.32%  
                      0145-236   59.11%     57.65%     55.76%     14.04%  
                      01256-34   74.09%     64.26%     55.75%     18.82%  
                      015-2346   56.28%     59.04%     55.75%     17.18%  
                      0156-234   57.89%     56.62%     55.16%     12.36%  
                      0134-256   61.13%     55.86%     55.03%     10.93%  
                      06-12345   63.16%     58.96%     54.84%     14.63%  
                      01246-35   77.73%     60.53%     54.77%     14.19%  
                      045-1236   58.70%     58.26%     54.51%     14.32%  
                      012456-3   84.21%     60.07%     54.15%     12.42%  
                      013-2456   55.87%     55.82%     53.98%     10.88%  
                      0126-345   67.61%     60.76%     53.81%     15.19%  
                      03-12456   60.32%     57.27%     53.77%     12.25%  
                      0136-245   59.11%     54.28%     53.76%     8.11%   
                      01456-23   61.54%     54.02%     53.63%     7.63%   
                      01356-24   62.35%     53.68%     53.45%     7.08%   
                      0124-356   68.83%     62.22%     53.44%     16.08%  
                      0135-246   57.49%     54.63%     53.30%     8.50%   
                      01346-25   65.18%     53.16%     53.19%     6.40%   
                      046-1235   56.28%     58.48%     53.02%     14.47%  
                      034-1256   55.06%     58.13%     52.98%     14.34%  
                      035-1246   56.28%     56.33%     52.57%     11.01%  
                      01345-26   62.75%     52.76%     52.44%     5.21%   
                      056-1234   57.49%     56.11%     52.22%     10.30%  
                      0125-346   64.37%     61.88%     52.11%     15.78%  
                      01245-36   73.68%     60.21%     52.01%     12.18%  
                      012-3456   59.51%     60.60%     51.39%     15.24%  
                      01236-45   77.73%     54.17%     51.28%     5.70%   
                      01235-46   74.49%     56.34%     50.48%     7.58%   
                      0345-126   51.01%     55.69%     50.37%     10.56%  
                      013456-2   68.42%     50.45%     50.36%     0.97%   
                      036-1245   53.04%     55.40%     50.19%     9.27%   
                      025-1346   50.20%     50.31%     49.94%     0.60%   
                      024-1356   49.80%     50.65%     49.80%     1.29%   
                      0356-124   50.61%     55.43%     49.60%     9.85%   
                      02-13456   51.01%     49.69%     49.55%     -0.61%  
                      0456-123   50.61%     54.40%     49.21%     7.89%   
                      0256-134   49.39%     50.71%     49.18%     1.45%   
                      0245-136   48.99%     49.86%     48.54%     -0.28%  
                      026-1345   48.58%     49.52%     48.53%     -0.95%  
                      0346-125   48.58%     55.52%     48.31%     10.40%  
                      0235-146   48.99%     49.88%     48.27%     -0.24%  
                      02356-14   51.42%     51.73%     48.04%     4.07%   
                      0123-456   66.40%     51.14%     47.57%     1.49%   
                      012346-5   90.28%     46.65%     47.45%     -4.82%  
                      01234-56   78.14%     48.13%     47.26%     -2.26%  
                      0246-135   48.18%     49.67%     47.24%     -0.70%  
                      023-1456   46.56%     47.56%     46.54%     -4.91%  
                      012345-6   86.23%     44.19%     46.30%     -5.64%  
                      03456-12   46.15%     54.05%     46.12%     8.27%   
                      02456-13   48.99%     49.48%     46.12%     -1.20%  
                      0236-145   47.37%     48.87%     46.02%     -2.45%  
                      0234-156   47.77%     48.52%     45.90%     -3.25%  
                      02345-16   50.20%     49.44%     45.85%     -1.33%  
                      02346-15   49.39%     49.01%     43.46%     -2.57%  
                      023456-1   53.44%     50.50%     43.41%     1.55%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                      0-123456   73.68%     64.27%     61.23%     24.35%  
                      01-23456   57.89%     61.86%     57.89%     23.56%  
                      04-12356   65.99%     63.95%     59.48%     23.55%  
                      014-2356   60.73%     62.17%     59.44%     22.77%  
                      012356-4   87.45%     67.43%     58.77%     22.01%  
                      01256-34   74.09%     64.26%     55.75%     18.82%  
                      015-2346   56.28%     59.04%     55.75%     17.18%  
                      016-2345   57.89%     58.95%     56.93%     17.02%  
                      05-12346   66.40%     59.53%     56.89%     16.32%  
                      0124-356   68.83%     62.22%     53.44%     16.08%  
                      0125-346   64.37%     61.88%     52.11%     15.78%  
                      0146-235   61.54%     58.24%     57.28%     15.51%  
                      012-3456   59.51%     60.60%     51.39%     15.24%  
                      0126-345   67.61%     60.76%     53.81%     15.19%  
                      06-12345   63.16%     58.96%     54.84%     14.63%  
                      046-1235   56.28%     58.48%     53.02%     14.47%  
                      034-1256   55.06%     58.13%     52.98%     14.34%  
                      045-1236   58.70%     58.26%     54.51%     14.32%  
                      01246-35   77.73%     60.53%     54.77%     14.19%  
                      0145-236   59.11%     57.65%     55.76%     14.04%  
                      012456-3   84.21%     60.07%     54.15%     12.42%  
                      0156-234   57.89%     56.62%     55.16%     12.36%  
                      03-12456   60.32%     57.27%     53.77%     12.25%  
                      01245-36   73.68%     60.21%     52.01%     12.18%  
                      035-1246   56.28%     56.33%     52.57%     11.01%  
                      0134-256   61.13%     55.86%     55.03%     10.93%  
                      013-2456   55.87%     55.82%     53.98%     10.88%  
                      0345-126   51.01%     55.69%     50.37%     10.56%  
                      0346-125   48.58%     55.52%     48.31%     10.40%  
                      056-1234   57.49%     56.11%     52.22%     10.30%  
                      0356-124   50.61%     55.43%     49.60%     9.85%   
                      036-1245   53.04%     55.40%     50.19%     9.27%   
                      0135-246   57.49%     54.63%     53.30%     8.50%   
                      03456-12   46.15%     54.05%     46.12%     8.27%   
                      0136-245   59.11%     54.28%     53.76%     8.11%   
                      0456-123   50.61%     54.40%     49.21%     7.89%   
                      01456-23   61.54%     54.02%     53.63%     7.63%   
                      01235-46   74.49%     56.34%     50.48%     7.58%   
                      01356-24   62.35%     53.68%     53.45%     7.08%   
                      01346-25   65.18%     53.16%     53.19%     6.40%   
                      01236-45   77.73%     54.17%     51.28%     5.70%   
                      01345-26   62.75%     52.76%     52.44%     5.21%   
                      02356-14   51.42%     51.73%     48.04%     4.07%   
                      023456-1   53.44%     50.50%     43.41%     1.55%   
                      0123-456   66.40%     51.14%     47.57%     1.49%   
                      0256-134   49.39%     50.71%     49.18%     1.45%   
                      024-1356   49.80%     50.65%     49.80%     1.29%   
                      013456-2   68.42%     50.45%     50.36%     0.97%   
                      025-1346   50.20%     50.31%     49.94%     0.60%   
                      0235-146   48.99%     49.88%     48.27%     -0.24%  
                      0245-136   48.99%     49.86%     48.54%     -0.28%  
                      02-13456   51.01%     49.69%     49.55%     -0.61%  
                      0246-135   48.18%     49.67%     47.24%     -0.70%  
                      026-1345   48.58%     49.52%     48.53%     -0.95%  
                      02456-13   48.99%     49.48%     46.12%     -1.20%  
                      02345-16   50.20%     49.44%     45.85%     -1.33%  
                      01234-56   78.14%     48.13%     47.26%     -2.26%  
                      0236-145   47.37%     48.87%     46.02%     -2.45%  
                      02346-15   49.39%     49.01%     43.46%     -2.57%  
                      0234-156   47.77%     48.52%     45.90%     -3.25%  
                      012346-5   90.28%     46.65%     47.45%     -4.82%  
                      023-1456   46.56%     47.56%     46.54%     -4.91%  
                      012345-6   86.23%     44.19%     46.30%     -5.64%  
