                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      03-12456   65.17%     52.23%     50.32%     3.56%   
                      025-1346   53.39%     52.15%     51.96%     4.23%   
                      02346-15   54.42%     51.97%     51.39%     4.19%   
                      01256-34   69.53%     51.96%     49.61%     2.85%   
                      0246-135   51.98%     51.93%     51.79%     3.89%   
                      02-13456   58.64%     51.81%     51.81%     3.63%   
                      023-1456   53.14%     51.55%     51.37%     3.04%   
                      06-12345   62.36%     51.53%     51.23%     2.86%   
                      0356-124   50.32%     51.45%     49.93%     2.82%   
                      01345-26   57.36%     50.44%     49.75%     0.98%   
                      036-1245   53.78%     50.16%     49.47%     0.30%   
                      02356-14   52.62%     49.38%     48.97%     -1.30%  
                      0256-134   48.91%     48.61%     48.57%     -2.80%  
                      0236-145   48.14%     47.97%     47.93%     -4.07%  
                      026-1345   48.27%     47.56%     47.49%     -4.92%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      01-23456   61.08%     59.84%     59.69%     20.39%  
                      016-2345   57.62%     58.35%     57.41%     16.42%  
                      013-2456   57.11%     57.16%     57.11%     14.33%  
                      0123-456   61.97%     58.13%     56.45%     14.76%  
                      015-2346   56.34%     56.39%     56.32%     12.76%  
                      012-3456   57.49%     58.57%     56.22%     16.10%  
                      0136-245   59.03%     56.60%     56.18%     12.79%  
                      0146-235   58.77%     56.07%     55.91%     11.93%  
                      0156-234   58.77%     55.87%     55.46%     11.34%  
                      014-2356   55.31%     55.31%     55.31%     10.63%  
                      0-123456   79.13%     57.77%     54.98%     11.93%  
                      01235-46   69.01%     55.72%     54.89%     10.39%  
                      01456-23   64.28%     54.68%     54.77%     9.65%   
                      0124-356   60.44%     55.59%     54.70%     10.40%  
                      0245-136   54.55%     55.60%     54.54%     11.24%  
                      01356-24   64.02%     54.46%     54.45%     8.90%   
                      0135-246   56.21%     54.31%     54.32%     8.71%   
                      0125-346   60.69%     55.77%     54.30%     10.40%  
                      0456-123   54.42%     56.50%     54.06%     12.54%  
                      01234-56   67.48%     54.25%     53.98%     8.11%   
                      01346-25   62.74%     53.71%     53.77%     7.64%   
                      024-1356   55.44%     54.28%     53.76%     8.28%   
                      023456-1   63.25%     54.82%     53.75%     11.82%  
                      02456-13   56.98%     54.13%     53.66%     8.83%   
                      02345-16   55.44%     55.42%     53.61%     11.80%  
                      01245-36   67.99%     53.66%     53.40%     6.96%   
                      046-1235   57.36%     55.01%     53.39%     9.14%   
                      04-12356   67.22%     57.45%     53.25%     11.29%  
                      0145-236   54.93%     53.07%     52.98%     6.28%   
                      045-1236   58.39%     57.39%     52.83%     12.25%  
                      012346-5   82.71%     54.31%     52.74%     6.66%   
                      05-12346   65.94%     55.25%     52.72%     8.50%   
                      01236-45   70.29%     56.20%     52.62%     9.20%   
                      01246-35   70.29%     54.88%     52.62%     7.73%   
                      0234-156   52.50%     53.54%     52.50%     7.08%   
                      012345-6   78.87%     52.36%     52.49%     5.17%   
                      013456-2   72.09%     52.48%     52.30%     6.00%   
                      0134-256   53.91%     52.37%     52.26%     4.83%   
                      025-1346   53.39%     52.15%     51.96%     4.23%   
                      02-13456   58.64%     51.81%     51.81%     3.63%   
                      0246-135   51.98%     51.93%     51.79%     3.89%   
                      03456-12   52.24%     55.14%     51.78%     10.85%  
                      012456-3   83.74%     53.12%     51.73%     4.67%   
                      0235-146   51.73%     52.36%     51.72%     4.74%   
                      0126-345   60.44%     55.63%     51.71%     9.00%   
                      056-1234   55.06%     52.26%     51.41%     4.23%   
                      02346-15   54.42%     51.97%     51.39%     4.19%   
                      023-1456   53.14%     51.55%     51.37%     3.04%   
                      06-12345   62.36%     51.53%     51.23%     2.86%   
                      0346-125   51.34%     53.00%     50.79%     5.74%   
                      03-12456   65.17%     52.23%     50.32%     3.56%   
                      012356-4   83.23%     52.30%     50.21%     2.93%   
                      035-1246   55.83%     52.62%     49.93%     4.46%   
                      0356-124   50.32%     51.45%     49.93%     2.82%   
                      01345-26   57.36%     50.44%     49.75%     0.98%   
                      01256-34   69.53%     51.96%     49.61%     2.85%   
                      0345-126   50.83%     54.41%     49.58%     7.99%   
                      036-1245   53.78%     50.16%     49.47%     0.30%   
                      034-1256   55.83%     52.76%     49.20%     4.53%   
                      02356-14   52.62%     49.38%     48.97%     -1.30%  
                      0256-134   48.91%     48.61%     48.57%     -2.80%  
                      0236-145   48.14%     47.97%     47.93%     -4.07%  
                      026-1345   48.27%     47.56%     47.49%     -4.92%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                      01-23456   61.08%     59.84%     59.69%     20.39%  
                      016-2345   57.62%     58.35%     57.41%     16.42%  
                      012-3456   57.49%     58.57%     56.22%     16.10%  
                      0123-456   61.97%     58.13%     56.45%     14.76%  
                      013-2456   57.11%     57.16%     57.11%     14.33%  
                      0136-245   59.03%     56.60%     56.18%     12.79%  
                      015-2346   56.34%     56.39%     56.32%     12.76%  
                      0456-123   54.42%     56.50%     54.06%     12.54%  
                      045-1236   58.39%     57.39%     52.83%     12.25%  
                      0-123456   79.13%     57.77%     54.98%     11.93%  
                      0146-235   58.77%     56.07%     55.91%     11.93%  
                      023456-1   63.25%     54.82%     53.75%     11.82%  
                      02345-16   55.44%     55.42%     53.61%     11.80%  
                      0156-234   58.77%     55.87%     55.46%     11.34%  
                      04-12356   67.22%     57.45%     53.25%     11.29%  
                      0245-136   54.55%     55.60%     54.54%     11.24%  
                      03456-12   52.24%     55.14%     51.78%     10.85%  
                      014-2356   55.31%     55.31%     55.31%     10.63%  
                      0125-346   60.69%     55.77%     54.30%     10.40%  
                      0124-356   60.44%     55.59%     54.70%     10.40%  
                      01235-46   69.01%     55.72%     54.89%     10.39%  
                      01456-23   64.28%     54.68%     54.77%     9.65%   
                      01236-45   70.29%     56.20%     52.62%     9.20%   
                      046-1235   57.36%     55.01%     53.39%     9.14%   
                      0126-345   60.44%     55.63%     51.71%     9.00%   
                      01356-24   64.02%     54.46%     54.45%     8.90%   
                      02456-13   56.98%     54.13%     53.66%     8.83%   
                      0135-246   56.21%     54.31%     54.32%     8.71%   
                      05-12346   65.94%     55.25%     52.72%     8.50%   
                      024-1356   55.44%     54.28%     53.76%     8.28%   
                      01234-56   67.48%     54.25%     53.98%     8.11%   
                      0345-126   50.83%     54.41%     49.58%     7.99%   
                      01246-35   70.29%     54.88%     52.62%     7.73%   
                      01346-25   62.74%     53.71%     53.77%     7.64%   
                      0234-156   52.50%     53.54%     52.50%     7.08%   
                      01245-36   67.99%     53.66%     53.40%     6.96%   
                      012346-5   82.71%     54.31%     52.74%     6.66%   
                      0145-236   54.93%     53.07%     52.98%     6.28%   
                      013456-2   72.09%     52.48%     52.30%     6.00%   
                      0346-125   51.34%     53.00%     50.79%     5.74%   
                      012345-6   78.87%     52.36%     52.49%     5.17%   
                      0134-256   53.91%     52.37%     52.26%     4.83%   
                      0235-146   51.73%     52.36%     51.72%     4.74%   
                      012456-3   83.74%     53.12%     51.73%     4.67%   
                      034-1256   55.83%     52.76%     49.20%     4.53%   
                      035-1246   55.83%     52.62%     49.93%     4.46%   
                      025-1346   53.39%     52.15%     51.96%     4.23%   
                      056-1234   55.06%     52.26%     51.41%     4.23%   
                      02346-15   54.42%     51.97%     51.39%     4.19%   
                      0246-135   51.98%     51.93%     51.79%     3.89%   
                      02-13456   58.64%     51.81%     51.81%     3.63%   
                      03-12456   65.17%     52.23%     50.32%     3.56%   
                      023-1456   53.14%     51.55%     51.37%     3.04%   
                      012356-4   83.23%     52.30%     50.21%     2.93%   
                      06-12345   62.36%     51.53%     51.23%     2.86%   
                      01256-34   69.53%     51.96%     49.61%     2.85%   
                      0356-124   50.32%     51.45%     49.93%     2.82%   
                      01345-26   57.36%     50.44%     49.75%     0.98%   
                      036-1245   53.78%     50.16%     49.47%     0.30%   
                      02356-14   52.62%     49.38%     48.97%     -1.30%  
                      0256-134   48.91%     48.61%     48.57%     -2.80%  
                      0236-145   48.14%     47.97%     47.93%     -4.07%  
                      026-1345   48.27%     47.56%     47.49%     -4.92%  
