R:A::C:P,0,1 2,3,4 5,6
0,0.48148148148148145,0.2962962962962963,0.0,0.2222222222222222,0.0
1 2,0.20930232558139536,0.5116279069767442,0.12790697674418605,0.1511627906976744,0.0
3,0.0,0.2,0.4,0.2,0.2
4 5,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
6,0.0,0.0,1.0,0.0,0.0
