R:A::C:P,0,1 5,2,3,4
0,0.36363636363636365,0.375,0.045454545454545456,0.09090909090909091,0.0
1 5,0.45454545454545453,0.5,0.5,0.36363636363636365,0.0
2,0.18181818181818182,0.125,0.2727272727272727,0.5454545454545454,0.0
3,0.0,0.0,0.13636363636363635,0.0,0.0
4,0.0,0.0,0.045454545454545456,0.0,1.0
